handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
Yodaskk,mixed,contrarian,0.1489421491984269,5.984821856647083e-06,916,0.01864212200805108,0.07948102419213937,151,108,0.543046357615894,0.4722222222222222
Tree_of_Alpha,mixed,contrarian,0.144688496400535,1.1014127560916489e-05,916,-0.01789202592214067,0.037506617916628786,0,1,,0.0
AnalysisElliott,cycle,long_tilted,0.12566130502090153,0.00013721657934290683,916,0.04062837550892287,0.084191008039356,236,0,0.5338983050847458,
KillaXBT,mixed,contrarian,0.1254349313473031,0.0001411135232337737,916,-0.006651939812668927,0.060812831097698944,12,148,0.5833333333333334,0.5202702702702703
dpuellARK,mixed,long_tilted,0.12370406827821975,0.00017453787916335643,916,0.02425950930820502,0.07563989713083316,146,1,0.3835616438356164,0.0
Jiangzhuoer2,cycle,long_tilted,0.11997727093622124,0.0002733099279143545,916,0.025913083260112713,0.1586383215108544,388,234,0.5567010309278351,0.5427350427350427
ToneVays,mixed,contrarian,0.11922153583733991,0.0002988712042117514,916,0.03083554021693196,0.12390786990703682,379,153,0.5488126649076517,0.5424836601307189
JakeGagain,content_creator,long_tilted,0.1105284485912447,0.0008054886336923423,916,0.05472490827182145,0.15115626310520236,387,253,0.5555555555555556,0.5652173913043478
VentureCoinist,mixed,long_tilted,0.10794103433329595,0.001067926791434596,916,0.03229916476173077,0.13480670968113198,370,217,0.5486486486486486,0.5529953917050692
ChartsBTC,cycle,long_tilted,0.1062036340039694,0.0012862770932514016,916,0.05257187655695907,0.12980238960642404,395,163,0.5544303797468354,0.5644171779141104
therationalroot,cycle,long_tilted,0.1055227763135745,0.0013825433058869173,916,0.04940943351079739,0.12805662672547996,368,149,0.5570652173913043,0.5436241610738255
CrashiusClay69,mixed,long_tilted,0.10508502578167878,0.0014478947089683607,916,0.045028619129572775,0.11860371507768123,373,160,0.546916890080429,0.54375
inmortalcrypto,cycle,long_tilted,0.10406686591874041,0.0016110365364513546,916,0.02595833351310188,0.08356946799864366,165,16,0.46060606060606063,0.625
MMCrypto,mixed,long_tilted,0.10380384550346179,0.0016558424259900863,916,0.03834416252783418,0.10012005333145674,344,7,0.5436046511627907,0.7142857142857143
Michael_Liu93,structural,short_tilted,0.10270364793124274,0.0018559458649210765,916,-0.010102819737311607,0.046166549335954446,1,67,1.0,0.4925373134328358
TATrader_Alan,mixed,long_tilted,0.10111488247244077,0.0021842173071054964,916,0.02371327873027953,0.0510208739568771,48,0,0.3541666666666667,
ki_young_ju,onchain,long_tilted,0.1005923168343251,0.002303292875516207,916,0.012201978585044676,0.06685424984824256,119,65,0.35294117647058826,0.49230769230769234
pierre_crypt0,pure_TA,neutral,0.10016192812386329,0.0024057902280718,916,0.002067246210018354,0.05890023745061101,21,67,0.38095238095238093,0.5074626865671642
DrProfitCrypto,mixed,contrarian,0.09917118151847197,0.0026577646189205914,916,0.010647002453244746,0.07207392025322949,153,5,0.41830065359477125,0.6
IamCryptoWolf,mixed,long_tilted,0.0964839130981516,0.003467127529586307,916,0.02782738083430014,0.07079233595180776,136,3,0.3897058823529412,1.0
ecoinometrics,mixed,long_tilted,0.09611460087595752,0.0035943662489841374,916,0.05009859494074541,0.13188652433972362,376,170,0.5638297872340425,0.4764705882352941
rektcapital,cycle,long_tilted,0.09543362175704408,0.0038401544581983106,916,0.027140504426631566,0.08373579619943657,165,29,0.41818181818181815,0.6206896551724138
EmperorBTC,mixed,long_tilted,0.09314876171009709,0.004780262977071689,916,0.01868112749003855,0.07313470527511867,137,7,0.38686131386861317,0.7142857142857143
Tradermayne,mixed,contrarian,0.09296171479330445,0.00486575245005285,916,0.018740031434853973,0.07684627720242652,156,84,0.46794871794871795,0.5119047619047619
blockchainedbb,mixed,long_tilted,0.09286169521014247,0.004912030650105597,916,0.025867903930131005,0.05671208049171834,126,0,0.3412698412698413,
CryptoMichNL,mixed,long_tilted,0.09097776737683379,0.005861270747624431,916,0.0306703040690458,0.05971184868554964,161,0,0.4161490683229814,
milesdeutscher,mixed,long_tilted,0.09075469295946262,0.005983965132853121,916,0.04490252341463752,0.09061428090926829,266,5,0.48872180451127817,0.8
BullTheoryio,mixed,contrarian,0.09028452685648912,0.006250159641483168,916,0.033632385324525046,0.13705121561037564,415,165,0.5566265060240964,0.5333333333333333
TylerSCrypto,content_creator,long_tilted,0.08957959579214948,0.0066692355513427205,916,0.0557547895715967,0.12671505773577849,384,134,0.5442708333333334,0.5447761194029851
WhalePanda,mixed,contrarian,0.08909593359999209,0.006971181699953181,916,0.029939113365555724,0.10891897275495867,250,156,0.48,0.5512820512820513
CryptoRover,content_creator,long_tilted,0.08755825631965944,0.008014249831500765,916,0.04439863531904423,0.08944044898653587,240,0,0.4666666666666667,
Deltaking888,pure_TA,short_tilted,0.0863952873314767,0.008893574121926059,916,-0.00010969822054464504,0.08751714234300614,134,172,0.3805970149253731,0.5232558139534884
intocryptoverse,cycle,contrarian,0.08464484629074882,0.010379581145206675,916,0.03358961367292786,0.11372480044898603,371,153,0.5525606469002695,0.5424836601307189
iamjosephyoung,content_creator,long_tilted,0.08406464946294523,0.010918691095202271,916,0.05270588266020351,0.0986408526658991,373,1,0.5576407506702413,0.0
algerstmehn,content_creator,long_tilted,0.08221627751130861,0.012805492122493583,916,0.05303993613296654,0.11585216303982315,429,0,0.5571095571095571,
Jackyi_ld,mixed,long_tilted,0.08036578240789445,0.014977411438406345,916,0.030396445959802385,0.08617404447784302,188,82,0.3882978723404255,0.5365853658536586
LayahHeilpern,content_creator,long_tilted,0.08022793518524017,0.015151468250593304,916,0.047157373194491106,0.12853791017180477,392,150,0.5433673469387755,0.5466666666666666
Kingpincrypto12,structural,long_tilted,0.0783532201534509,0.017701297167531417,916,0.009783375724553919,0.06014541015361534,44,25,0.36363636363636365,0.52
hyblockcapital,derivatives,contrarian,0.07534762148567212,0.022574411419181838,916,-0.013861485104966861,0.03465757321737737,9,18,0.5555555555555556,0.4444444444444444
Negentropic_,mixed,long_tilted,0.07079069009326566,0.03217115253436067,916,0.03978293628377853,0.05920341334531538,172,0,0.42441860465116277,
Jamie1Coutts,mixed,long_tilted,0.07070150346587198,0.03238938642808265,916,0.030382135768161973,0.04700670032586459,82,0,0.3048780487804878,
TraderKoz,mixed,long_tilted,0.07026651165397993,0.033472019504078784,916,0.026573593490100696,0.07061737455536038,154,3,0.37662337662337664,1.0
StackerSatoshi,mixed,long_tilted,0.06966192411192304,0.0350279797682535,916,0.027672454460077645,0.07625079346218767,178,55,0.38764044943820225,0.4909090909090909
scottmelker,mixed,long_tilted,0.0663195262264649,0.044785686890748584,916,0.04049806735630554,0.08307737221070756,162,2,0.4012345679012346,0.0
CryptoFaibik,pure_TA,long_tilted,0.0657471733438965,0.046667426462888004,916,0.012779595504275041,0.05111316452170547,114,0,0.32456140350877194,
IvanOnTech,content_creator,long_tilted,0.06487603909700584,0.04965869776042432,916,0.06282012929493853,0.10810062160410232,415,10,0.5542168674698795,0.6
LedgerStatus,mixed,long_tilted,0.0640486911620618,0.0526466396327879,916,0.02585545206453235,0.08290123737796135,195,67,0.4358974358974359,0.5074626865671642
PeterLBrandt,mixed,contrarian,0.06353999370532802,0.05455720157281101,916,0.006475052938732917,0.04675345146620011,13,3,0.3076923076923077,0.6666666666666666
CryptoTony__,mixed,long_tilted,0.04981189796190807,0.13194957955481135,916,0.025143162853327947,0.053508820245883174,127,2,0.33070866141732286,1.0
paulbarron,content_creator,long_tilted,0.04740771120821456,0.1516679946609922,916,0.03921026910283291,0.07153697479847627,220,1,0.44545454545454544,1.0
CryptoNTez,mixed,long_tilted,0.04698771351265025,0.1553315043860391,916,0.006709598933988787,0.07443019925508741,123,154,0.34959349593495936,0.5454545454545454
LookOnChain,onchain,neutral,0.04236967024359181,0.20013633784048918,916,-4.749712094374587e-05,0.011358863760128695,0,0,,
ewforecast,structural,neutral,0.028337107381785867,0.3916452945540569,916,0.025280957506456092,0.05096132368038193,81,0,0.4567901234567901,
