handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
Tree_of_Alpha,mixed,contrarian,0.1464366077194831,8.589707159658266e-06,916,-0.031437563876242684,0.045757425544170484,0,6,,0.8333333333333334
hyblockcapital,derivatives,contrarian,0.1275509964477184,0.00010841492538745211,916,-0.01635033128437829,0.0365720144609616,9,10,0.7777777777777778,0.3
KillaXBT,mixed,contrarian,0.10865720977218184,0.0009883223364384741,916,-0.013203252968385095,0.05990044680373496,10,152,0.4,0.8618421052631579
pierre_crypt0,pure_TA,neutral,0.1025379063535475,0.0018879440053371562,916,-0.006038119631212733,0.05722008290949035,16,62,0.5625,0.8064516129032258
PeterLBrandt,mixed,contrarian,0.09690528651692985,0.0033269604525461263,916,-0.004719652681384816,0.049423852440605646,7,5,0.7142857142857143,0.8
Deltaking888,pure_TA,short_tilted,0.08867102700423517,0.007246501297497638,916,-0.014874486207694576,0.08790176056420669,98,192,0.3469387755102041,0.796875
Yodaskk,mixed,contrarian,0.08336532367316046,0.011601407181397337,916,0.013994966830591437,0.07670865804898337,137,101,0.40875912408759124,0.8613861386138614
ewforecast,structural,neutral,0.07889049563454881,0.016934710229067753,916,0.015182653073752878,0.049677594730918546,64,1,0.28125,1.0
Michael_Liu93,structural,short_tilted,0.07388499771501147,0.025340682973496554,916,-0.019071139109306242,0.047654926043344495,0,68,,0.8382352941176471
CryptoNTez,mixed,long_tilted,0.0731994865972418,0.026734963974425922,916,-0.00729004064522183,0.07312301683903445,86,162,0.29069767441860467,0.8827160493827161
BigCheds,pure_TA,neutral,0.07174072903736485,0.02992349344024561,916,-0.0010888479794037066,0.033416471239698195,0,1,,1.0
LedgerStatus,mixed,long_tilted,0.07113311359268368,0.031344913449861414,916,0.015112537799735482,0.07699747423213602,139,63,0.460431654676259,0.8095238095238095
GuruMemeCoin,mixed,long_tilted,0.0689064448759942,0.03705854593502561,916,-0.00206150165687043,0.05673679659292143,3,14,0.0,0.6428571428571429
ToneVays,mixed,contrarian,0.0669635664152929,0.04274506465094906,916,0.016779264685166908,0.11900628917545135,292,164,0.4691780821917808,0.8719512195121951
BullTheoryio,mixed,contrarian,0.06627509006211356,0.04492945688184637,916,0.015274511999402817,0.1313081619745746,325,188,0.49538461538461537,0.8351063829787234
Kingpincrypto12,structural,long_tilted,0.06571248068316934,0.046783590527053005,916,0.0025784040719623326,0.05682873898291379,17,26,0.5294117647058824,0.6923076923076923
EmberCN,mixed,neutral,0.06437050805967896,0.051467042910251,916,-0.007669719391880964,0.032097942916504155,0,0,,
paulbarron,content_creator,long_tilted,0.06325643297922358,0.05564703005327075,916,0.03173295708332677,0.06815763056003717,172,0,0.4011627906976744,
WhalePanda,mixed,contrarian,0.06317421787413775,0.05596637839867633,916,0.019911753817451746,0.10484691910533335,199,165,0.3969849246231156,0.8727272727272727
CryptoFaibik,pure_TA,long_tilted,0.061787806476669635,0.061585107773273695,916,0.005632141957680769,0.048090417018599785,83,0,0.26506024096385544,
JamieSaettele,mixed,contrarian,0.06107565025495567,0.0646478341653817,916,0.016592296947611003,0.024397277388723833,3,0,0.6666666666666666,
VentureCoinist,mixed,long_tilted,0.060834521063822145,0.0657128606470525,916,0.01980642174340639,0.12773027778267995,301,237,0.49169435215946844,0.8270042194092827
DrProfitCrypto,mixed,contrarian,0.06030821818841825,0.06808764356359233,916,0.0054308494298597855,0.06729499332006705,112,2,0.32142857142857145,0.0
OnchainDataNerd,onchain,neutral,0.05961845855414865,0.07130619215798688,916,-0.006791988195649138,0.0403607469404796,0,0,,
laojiucai123,mixed,short_tilted,0.057598307651164526,0.0814546817030038,916,-0.01769901363040414,0.06689483969619608,12,255,0.5833333333333334,0.7372549019607844
StackerSatoshi,mixed,long_tilted,0.05672039658585122,0.08621550321297382,916,0.01847542423862097,0.07313377000630235,127,53,0.33070866141732286,0.8301886792452831
EmperorBTC,mixed,long_tilted,0.05631434634252378,0.08849212250156795,916,0.014238218901034353,0.06877680230727415,105,6,0.3333333333333333,0.6666666666666666
LayahHeilpern,content_creator,long_tilted,0.055298634179282186,0.09439917339473645,916,0.032516795431642605,0.12210616599669646,322,163,0.4906832298136646,0.8834355828220859
Jiangzhuoer2,cycle,long_tilted,0.05470668849684145,0.09798471332985004,916,0.007628708652366076,0.15135819487606159,312,275,0.49038461538461536,0.7636363636363637
krugermacro,macro,contrarian,0.054702240347211016,0.09801206224608014,916,0.01776139447615006,0.057427971118266356,61,3,0.2786885245901639,0.6666666666666666
Jackyi_ld,mixed,long_tilted,0.054457154082115725,0.09952837842682687,916,0.020351388560242645,0.08165531259889347,134,81,0.373134328358209,0.8024691358024691
TraderMercury,pure_TA,long_tilted,0.05285488734382613,0.10990676962771777,916,0.0047785595208097945,0.060739205380570906,55,3,0.38181818181818183,0.6666666666666666
Anbessa100,mixed,long_tilted,0.05143845099167657,0.11977607322011107,916,-0.004530245014735298,0.0506373045273652,8,9,0.625,0.7777777777777778
Crypto_Birb,mixed,long_tilted,0.051056657998630614,0.12255150922060196,916,-0.003529757888126956,0.06191080668487583,17,9,0.7058823529411765,0.3333333333333333
ki_young_ju,onchain,long_tilted,0.05053099814857567,0.1264545561412533,916,0.004099463274162796,0.06458895309986964,84,65,0.2857142857142857,0.8307692307692308
intocryptoverse,cycle,contrarian,0.049971345260043126,0.13071549249346756,916,0.019875263784709888,0.1079235050678565,290,165,0.47586206896551725,0.8787878787878788
Tradermayne,mixed,contrarian,0.04966702559487474,0.13307865715587353,916,0.011856785592616681,0.0712139958796073,108,67,0.3148148148148148,0.835820895522388
