handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
dpuellARK,mixed,long_tilted,0.09220327459434363,0.005226726365623905,916,0.021607212311935374,0.07230671508903577,87,3,0.5172413793103449,0.6666666666666666
ChartsBTC,cycle,long_tilted,0.08439509873328466,0.010608674613921749,916,0.04895738694645527,0.12332199770278798,401,173,0.44389027431421446,0.5664739884393064
JakeGagain,content_creator,long_tilted,0.08330853282164834,0.011658474864245474,916,0.05091779059914996,0.14307287755781065,399,258,0.45112781954887216,0.5658914728682171
CrashiusClay69,mixed,long_tilted,0.07576816885514943,0.021829195046894196,916,0.04105821463073696,0.11068215888130414,389,168,0.4498714652956298,0.5476190476190477
MMCrypto,mixed,long_tilted,0.07436460741421148,0.02440295098506514,916,0.03473850775548701,0.0934079041587202,352,5,0.46875,0.4
rektcapital,cycle,long_tilted,0.07370292407139663,0.025704740081736954,916,0.025057622853980974,0.07880448739555863,107,21,0.4485981308411215,0.6190476190476191
therationalroot,cycle,long_tilted,0.06845983839322488,0.03830535290564128,916,0.04641936352216306,0.1225447375547732,370,154,0.4648648648648649,0.564935064935065
TATrader_Alan,mixed,long_tilted,0.06447766611978653,0.05107919745812411,916,0.02127735395115185,0.04745793451176715,18,0,0.3888888888888889,
AnalysisElliott,cycle,long_tilted,0.06426434689075662,0.05185370377823952,916,0.03907898806281563,0.08274759657980994,236,0,0.4322033898305085,
inmortalcrypto,cycle,long_tilted,0.061431365633706714,0.06310269869340021,916,0.025685856781133935,0.07817466669669362,114,9,0.47368421052631576,0.6666666666666666
TylerSCrypto,content_creator,long_tilted,0.056688984091350786,0.08638992239223575,916,0.05292454412800994,0.1200331427955342,392,139,0.44387755102040816,0.539568345323741
milesdeutscher,mixed,long_tilted,0.05514244439400558,0.09533489233321038,916,0.04234562454633084,0.08558775880475626,237,3,0.43037974683544306,0.3333333333333333
VentureCoinist,mixed,long_tilted,0.05423744484223961,0.10090351836762566,916,0.021341667970918424,0.1242766608048483,301,214,0.4717607973421927,0.4953271028037383
Jiangzhuoer2,cycle,long_tilted,0.05420549617826696,0.1011047347633322,916,0.01009239011950928,0.147426042905756,311,270,0.4694533762057878,0.5148148148148148
scottmelker,mixed,long_tilted,0.053839544885473996,0.10343236998177964,916,0.03512288625011398,0.07728070767268368,110,7,0.4,0.8571428571428571
iamjosephyoung,content_creator,long_tilted,0.05090942025952844,0.12363515868732179,916,0.0499327479576273,0.09446184177013378,373,3,0.45576407506702415,0.6666666666666666
CryptoMichNL,mixed,long_tilted,0.05012770686400313,0.129513987331689,916,0.027861459827256886,0.055372200661066455,122,0,0.4180327868852459,
ToneVays,mixed,contrarian,0.04926655046707475,0.1362386562107788,916,0.01875045781095928,0.11668587768990232,292,135,0.4828767123287671,0.4148148148148148
ecoinometrics,mixed,long_tilted,0.048747475600225285,0.1404201511339882,916,0.042991949706818335,0.12505887489154105,340,172,0.4647058823529412,0.4476744186046512
